Title,Price (£),Price (€),Rating
Shadows of the Past (Logan Point #1),39.67,46.41,5
Roller Girl,14.1,16.5,5
Rising Strong,21.82,25.53,3
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,63.43,1
Please Kill Me: The Uncensored Oral History of Punk,31.19,36.49,4
Out of Print: City Lights Spotlight No. 14,53.64,62.76,5
My Life Next Door (My Life Next Door ),36.39,42.58,5
Miller's Valley,58.54,68.49,2
Man's Search for Meaning,29.48,34.49,3
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,29.32,2
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,14.68,3
Les Fleurs du Mal,29.04,33.98,5
Left Behind (Left Behind #1),40.72,47.64,2
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,52.71,5
Kierkegaard: A Christian Missionary to Christians,47.13,55.14,1
John Vassos: Industrial Design for Modern Life,20.22,23.66,4
I'll Give You the Sun,56.48,66.08,1
I Will Find You,44.21,51.73,1
Hystopia: A Novel,21.96,25.69,4
Howl and Other Poems,40.45,47.33,2
History of Beauty,10.29,12.04,4
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,61.85,2
Future Shock (Future Shock #1),55.65,65.11,5
Ender's Game (The Ender Quintet #1),43.64,51.06,1
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,33.24,1
Death by Leisure: A Cautionary Tale,37.51,43.89,4
Brilliant Beacons: A History of the American Lighthouse,11.45,13.4,3
Brazen: The Courage to Find the You That's Been Hiding,19.22,22.49,2
Between the World and Me,56.91,66.58,4
Being Mortal: Medicine and What Matters in the End,55.06,64.42,4
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,15.44,3
32 Yolks,53.63,62.75,2
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,52.04,5
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,14.13,3
Wildlife of New York: A Five-Borough Coloring Book,22.14,25.9,2
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,29.68,5
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,54.21,2
Under the Tuscan Sun,37.33,43.68,3
Toddlers Are A**holes: It's Not Your Fault,25.55,29.89,1
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,40.62,1
The Whale,35.96,42.07,4
The Story of Art,41.14,48.13,4
The Origin of Species,10.01,11.71,4
The Great Gatsby,36.05,42.18,4
The Good Girl,49.03,57.37,3
The Glass Castle,16.24,19.0,1
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,46.27,1
The Drowning Girls,35.67,41.73,3
The Constant Princess (The Tudor Court #1),16.62,19.45,3
The Bourne Identity (Jason Bourne #1),42.78,50.05,4
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,61.19,5
The Art Book,32.34,37.84,2
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,38.81,4
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,23.54,5
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,24.45,2
"Sit, Stay, Love",20.9,24.45,3
Sister Dear,40.2,47.03,4
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,61.86,3
"Rich Dad, Poor Dad",51.74,60.54,1
Raymie Nightingale,34.41,40.26,2
Playing from the Heart,32.38,37.88,1
Nightstruck: A Novel,50.35,58.91,4
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,13.31,5
Meternity,43.58,50.99,3
Memoirs of a Geisha,49.67,58.11,3
Like Never Before (Walker Family #2),28.77,33.66,2
Life of Pi,13.22,15.47,4
Leave This Song Behind: Teen Poetry at Its Best,51.17,59.87,5
King's Folly (The Kinsman Chronicles #1),39.61,46.34,5
John Adams,57.43,67.19,4
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,53.83,4
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,33.05,2
Good in Bed (Cannie Shapiro #1),37.05,43.35,5
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,22.9,1
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,52.8,3
Finding God in the Ruins: How God Redeems Pain,46.64,54.57,2
Every Heart a Doorway (Every Heart A Doorway #1),12.16,14.23,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,24.44,4
Counted With the Stars (Out from Egypt #1),17.97,21.02,5
"Chronicles, Vol. 1",52.6,61.54,2
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,30.15,1
Benjamin Franklin: An American Life,48.19,56.38,3
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,35.02,5
A Summer In Europe,44.34,51.88,2
A Short History of Nearly Everything,52.4,61.31,5
A Gathering of Shadows (Shades of Magic #2),44.81,52.43,4
The Sound Of Love,57.84,67.67,5
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,46.41,2
The Perks of Being a Wallflower,55.02,64.37,3
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,29.02,4
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,69.56,4
The Makings of a Fatherless Child,31.58,36.95,2
The Joy of Cooking,43.27,50.63,4
The Invention of Wings,37.34,43.69,1
The Hobbit (Middle-Earth Universe),17.8,20.83,5
The Great Railway Bazaar,30.54,35.73,1
The Golden Compass (His Dark Materials #1),18.77,21.96,1
The God Delusion,46.85,54.81,3
The Girl You Left Behind (The Girl You Left Behind #1),15.79,18.47,1
The Fellowship of the Ring (The Lord of the Rings #1),10.27,12.02,2
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,18.04,5
The Barefoot Contessa Cookbook,59.92,70.11,5
Tell the Wolves I'm Home,50.96,59.62,2
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,35.8,3
Pride and Prejudice,19.27,22.55,4
Musicophilia: Tales of Music and the Brain,46.58,54.5,1
Mere Christianity,48.51,56.76,3
Me Before You (Me Before You #1),19.02,22.25,1
In the Woods (Dublin Murder Squad #1),38.38,44.9,2
In Cold Blood,49.98,58.48,4
How to Stop Worrying and Start Living,46.49,54.39,5
Give It Back,18.32,21.43,2
"Girl, Interrupted",42.14,49.3,3
Fun Home: A Family Tragicomic,56.59,66.21,4
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,24.52,4
Deception Point,40.32,47.17,4
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,42.58,3
Catherine the Great: Portrait of a Woman,58.55,68.5,4
Better Homes and Gardens New Cook Book,39.61,46.34,3
An Unquiet Mind: A Memoir of Moods and Madness,21.3,24.92,3
A Year in Provence (Provence #1),56.88,66.55,4
World Without End (The Pillars of the Earth #2),32.97,38.57,4
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,55.35,4
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,56.94,2
Where She Went (If I Stay #2),41.73,48.82,4
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,62.81,4
Two Summers,14.64,17.13,1
This Is Your Brain on Music: The Science of a Human Obsession,38.4,44.93,1
The Secret Garden,15.08,17.64,4
The Raven King (The Raven Cycle #4),30.57,35.77,2
The Raven Boys (The Raven Cycle #1),57.74,67.56,4
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,12.93,5
The Metamorphosis,28.58,33.44,1
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,50.2,5
The Little Paris Bookshop,24.73,28.93,3
The Hiding Place,55.91,65.41,4
The Grand Design,13.76,16.1,3
The Firm,45.56,53.31,3
The Fault in Our Stars,47.22,55.25,1
The False Prince (The Ascendance Trilogy #1),56.0,65.52,5
The Expatriates,44.58,52.16,2
The Dream Thieves (The Raven Cycle #2),34.5,40.36,1
The Darkest Corners,11.33,13.26,5
The Crossover,38.77,45.36,4
The 5th Wave (The 5th Wave #1),11.83,13.84,2
Tell the Wind and Fire,45.51,53.25,3
Tell Me Three Things,41.81,48.92,1
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,29.43,4
Siddhartha,34.22,40.04,5
Shiver (The Wolves of Mercy Falls #1),16.23,18.99,5
Remember Me?,11.48,13.43,3
Red Dragon (Hannibal Lecter #1),23.37,27.34,3
Peak: Secrets from the New Science of Expertise,16.28,19.05,2
My Mother Was Nuts,31.63,37.01,4
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,29.14,5
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,26.37,1
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,27.65,4
Logan Kade (Fallen Crest High #5.5),13.12,15.35,2
Last One Home (New Beginnings #1),59.98,70.18,3
Killing Floor (Jack Reacher #1),31.49,36.84,4
Kill the Boy Band,15.52,18.16,5
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,56.31,5
If I Stay (If I Stay #1),38.13,44.61,5
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,42.76,2
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,27.28,1
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,19.11,1
Foundation (Foundation (Publication Order) #1),32.42,37.93,1
Fool Me Once,16.96,19.84,1
Find Her (Detective D.D. Warren #8),22.37,26.17,1
Evicted: Poverty and Profit in the American City,42.27,49.46,1
Drama,38.7,45.28,2
Dracula the Un-Dead,35.63,41.69,5
Digital Fortress,58.0,67.86,5
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,61.32,1
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,37.85,3
Critique of Pure Reason,20.75,24.28,1
Booked,17.49,20.46,5
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,39.93,5
Approval Junkie: Adventures in Caring Too Much,58.81,68.81,5
An Abundance of Katherines,10.0,11.7,5
America's War for the Greater Middle East: A Military History,51.22,59.93,2
Alight (The Generations Trilogy #2),58.59,68.55,4
A Girl's Guide to Moving On (New Beginnings #2),31.3,36.62,1
A Game of Thrones (A Song of Ice and Fire #1),46.42,54.31,2
A Feast for Crows (A Song of Ice and Fire #4),17.21,20.14,4
A Clash of Kings (A Song of Ice and Fire #2),10.79,12.62,3
Vogue Colors A to Z: A Fashion Coloring Book,52.35,61.25,4
The Shining (The Shining #1),27.88,32.62,3
The Pilgrim's Progress,50.26,58.8,2
The Perfect Play (Play by Play #1),59.99,70.19,3
The Passion of Dolssa,28.32,33.13,5
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,45.29,3
The Hunger Games (The Hunger Games #1),29.85,34.92,5
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,17.34,2
The Gunning of America: Business and the Making of American Gun Culture,16.81,19.67,4
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,33.03,2
The Demonists (Demonist #1),52.11,60.97,2
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,32.62,2
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,69.86,3
The Beast (Black Dagger Brotherhood #14),46.08,53.91,5
Some Women,13.73,16.06,5
Shopaholic Ties the Knot (Shopaholic #3),48.39,56.62,5
Paper and Fire (The Great Library #2),49.45,57.86,5
Outlander (Outlander #1),19.67,23.01,5
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,14.46,3
No One Here Gets Out Alive,20.02,23.42,5
Night Shift (Night Shift #1-20),12.75,14.92,4
Needful Things,47.51,55.59,4
Mockingjay (The Hunger Games #3),20.44,23.91,4
Misery,34.79,40.7,2
Little Women (Little Women #1),28.07,32.84,4
It,25.01,29.26,3
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,16.26,3
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,28.28,4
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,37.01,4
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,57.04,5
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,17.25,1
Gone with the Wind,32.49,38.01,3
God Is Not Great: How Religion Poisons Everything,27.8,32.53,1
Girl With a Pearl Earring,26.77,31.32,1
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,59.01,4
Far From True (Promise Falls Trilogy #2),34.93,40.87,2
Dark Lover (Black Dagger Brotherhood #1),12.87,15.06,1
Confessions of a Shopaholic (Shopaholic #1),48.94,57.26,2
Changing the Game (Play by Play #2),13.38,15.65,3
Candide,58.63,68.6,3
Can You Keep a Secret?,21.94,25.67,1
Atlas Shrugged,26.58,31.1,5
Animal Farm,57.22,66.95,3
A Walk to Remember,56.43,66.02,1
A New Earth: Awakening to Your Life's Purpose,55.65,65.11,5
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,32.32,1
'Salem's Lot,49.56,57.99,4
Zero History (Blue Ant #3),34.77,40.68,1
Wuthering Heights,17.73,20.74,3
World War Z: An Oral History of the Zombie War,21.8,25.51,1
Wild: From Lost to Found on the Pacific Crest Trail,46.02,53.84,3
"Where'd You Go, Bernadette",18.13,21.21,1
When You Are Engulfed in Flames,30.89,36.14,5
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,37.38,3
We Are All Completely Beside Ourselves,24.04,28.13,1
Walk the Edge (Thunder Road #2),32.36,37.86,3
Voyager (Outlander #3),21.07,24.65,5
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,59.27,3
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,15.98,2
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,67.97,1
Under the Banner of Heaven: A Story of Violent Faith,30.0,35.1,1
Two Boys Kissing,32.74,38.31,2
Twilight (Twilight #1),41.93,49.06,2
Twenties Girl,42.8,50.08,2
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,62.61,1
Three-Martini Lunch,23.21,27.16,3
"Thinking, Fast and Slow",21.14,24.73,1
The Wild Robot,56.07,65.6,3
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,16.86,3
The Undomestic Goddess,45.75,53.53,4
The Travelers,15.77,18.45,1
The Tipping Point: How Little Things Can Make a Big Difference,10.02,11.72,2
The Thing About Jellyfish,48.77,57.06,1
The Stand,57.86,67.7,2
The Smitten Kitchen Cookbook,23.59,27.6,1
The Silkworm (Cormoran Strike #2),23.05,26.97,5
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,64.99,5
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,68.61,4
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,27.16,1
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,49.81,3
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,12.78,1
The Rest Is Noise: Listening to the Twentieth Century,34.77,40.68,1
The Red Tent,35.66,41.72,5
The Purpose Driven Life: What on Earth Am I Here for?,37.19,43.51,3
The Purest Hook (Second Circle Tattoos #3),12.25,14.33,1
The Picture of Dorian Gray,29.7,34.75,2
The Paris Wife,36.8,43.06,3
The Obsession,45.43,53.15,1
The Nightingale,26.26,30.72,4
The New Guy (and Other Senior Year Distractions),44.92,52.56,3
The Nanny Diaries (Nanny #1),52.53,61.46,5
The Name of God is Mercy,37.25,43.58,2
The Maze Runner (The Maze Runner #1),20.93,24.49,1
The Lover's Dictionary,58.09,67.97,2
The Lonely Ones,43.59,51.0,5
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,39.69,3
The Last Painting of Sara de Vos,55.55,64.99,2
"The Land of 10,000 Madonnas",29.64,34.68,4
The Infinities,27.41,32.07,1
The Husband's Secret,52.51,61.44,5
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,55.93,3
The Guns of August,14.54,17.01,2
The Guernsey Literary and Potato Peel Pie Society,49.53,57.95,1
The Goldfinch,43.58,50.99,3
The Giver (The Giver Quartet #1),12.3,14.39,1
The Girl with All the Gifts,49.47,57.88,3
The Girl Who Played with Fire (Millennium Trilogy #2),22.14,25.9,2
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,67.25,1
The Exiled,43.45,50.84,3
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,25.89,4
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,15.25,4
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,67.1,5
The Devil Wears Prada (The Devil Wears Prada #1),44.29,51.82,1
The Demon-Haunted World: Science as a Candle in the Dark,52.25,61.13,4
The Day the Crayons Came Home (Crayons),26.33,30.81,5
The Da Vinci Code (Robert Langdon #2),22.96,26.86,2
The Cuckoo's Calling (Cormoran Strike #1),19.21,22.48,1
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,31.33,4
The Complete Poems,41.32,48.34,5
The Catcher in the Rye,24.55,28.72,1
The Cat in the Hat (Beginner Books B-1),16.26,19.02,2
The Case for Christ (Cases for Christianity),47.84,55.97,1
The Book Thief,53.49,62.58,2
The Book of Basketball: The NBA According to The Sports Guy,44.84,52.46,5
The Blind Side: Evolution of a Game,53.71,62.84,5
The Autobiography of Malcolm X,23.43,27.41,2
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,40.15,3
The Art of Fielding,22.1,25.86,1
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,30.22,2
Stiff: The Curious Lives of Human Cadavers,36.74,42.99,3
Spilled Milk: Based on a True Story,49.51,57.93,1
Something Borrowed (Darcy & Rachel #1),48.96,57.28,5
Something Blue (Darcy & Rachel #2),54.62,63.91,1
Soldier (Talon #3),24.72,28.92,2
Shopaholic & Baby (Shopaholic #5),46.45,54.35,2
Seven Days in the Art World,52.33,61.23,2
Seven Brief Lessons on Physics,30.6,35.8,4
Scarlet (The Lunar Chronicles #2),14.57,17.05,4
Sarah's Key,46.29,54.16,1
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,25.24,5
Running with Scissors,12.91,15.1,4
Rogue Lawyer (Rogue Lawyer #1),50.11,58.63,3
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,48.75,4
Rework,44.88,52.51,2
Reservations for Two,11.1,12.99,3
Red: The True Story of Red Riding Hood,28.54,33.39,3
Ready Player One,19.07,22.31,4
Quiet: The Power of Introverts in a World That Can't Stop Talking,43.55,50.95,1
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,51.05,3
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,45.78,1
Packing for Mars: The Curious Science of Life in the Void,56.68,66.32,2
Outliers: The Story of Success,14.16,16.57,1
Original Fake,31.45,36.8,3
Orange Is the New Black,24.61,28.79,2
One for the Money (Stephanie Plum #1),32.87,38.46,2
Notes from a Small Island (Notes From a Small Island #1),40.17,47.0,1
Night (The Night Trilogy #1),13.51,15.81,1
Neither Here nor There: Travels in Europe,38.95,45.57,3
Naked,31.69,37.08,3
Morning Star (Red Rising #3),29.4,34.4,1
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,67.66,1
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,64.89,2
Me Talk Pretty One Day,57.6,67.39,2
Manuscript Found in Accra,34.98,40.93,2
Lust & Wonder,11.87,13.89,2
Lila (Gilead #3),12.47,14.59,3
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,38.91,2
Life Without a Recipe,59.04,69.08,5
Life After Life,26.13,30.57,2
Letter to a Christian Nation,22.2,25.97,1
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,52.78,1
Legend (Legend #1),43.69,51.12,4
"Lean In: Women, Work, and the Will to Lead",25.02,29.27,1
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,64.94,5
Lady Renegades (Rebel Belle #3),53.04,62.06,5
Jurassic Park (Jurassic Park #1),44.97,52.61,1
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,49.58,1
Is Everyone Hanging Out Without Me? (And Other Concerns),20.11,23.53,3
Into the Wild,56.7,66.34,5
Inferno (Robert Langdon #4),41.0,47.97,5
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,33.75,3
If I Run (If I Run #1),49.97,58.46,4
I've Got Your Number,19.69,23.04,1
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,33.79,2
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,38.77,3
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,51.13,2
House of Leaves,54.89,64.22,1
Horrible Bear!,37.52,43.9,2
Holidays on Ice,51.07,59.75,2
Heir to the Sky,44.07,51.56,4
Green Eggs and Ham (Beginner Books B-16),10.79,12.62,4
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,49.98,1
Gratitude,26.66,31.19,5
Gone Girl,37.6,43.99,5
Golden (Heart of Dread #3),42.21,49.39,4
Girl in the Blue Coat,46.83,54.79,2
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,52.85,2
"Friday Night Lights: A Town, a Team, and a Dream",51.22,59.93,3
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,24.9,4
Fifty Shades Freed (Fifty Shades #3),15.36,17.97,5
Fellside,38.62,45.19,1
Extreme Prey (Lucas Davenport #26),25.4,29.72,3
Eragon (The Inheritance Cycle #1),43.87,51.33,3
Eclipse (Twilight #3),18.74,21.93,1
Dune (Dune #1),54.86,64.19,1
Dracula,52.62,61.57,3
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,60.23,1
Disrupted: My Misadventure in the Start-Up Bubble,15.28,17.88,5
Dead Wake: The Last Crossing of the Lusitania,39.24,45.91,5
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,20.84,1
Darkfever (Fever #1),56.02,65.54,1
Dark Places,23.9,27.96,5
Crazy Rich Asians (Crazy Rich Asians #1),49.13,57.48,5
Counting Thyme,10.62,12.43,1
Cosmos,36.17,42.32,2
Civilization and Its Discontents,59.95,70.14,2
Cinder (The Lunar Chronicles #1),26.09,30.53,1
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,37.35,43.7,2
Career of Evil (Cormoran Strike #3),24.72,28.92,2
Breaking Dawn (Twilight #4),35.28,41.28,5
Brave Enough,51.32,60.04,5
Boy Meets Boy,21.12,24.71,3
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,32.0,2
Blink: The Power of Thinking Without Thinking,21.74,25.44,5
Black Flags: The Rise of ISIS,40.87,47.82,1
"Black Butler, Vol. 1 (Black Butler #1)",49.31,57.69,1
Big Little Lies,22.11,25.87,1
Between Shades of Gray,20.79,24.32,5
Best of My Love (Fool's Gold #20),27.41,32.07,2
Beowulf,38.35,44.87,2
Beautiful Creatures (Caster Chronicles #1),21.55,25.21,5
Awkward,38.02,44.48,2
Ash,22.06,25.81,4
Are We There Yet?,10.66,12.47,3
Are We Smart Enough to Know How Smart Animals Are?,56.58,66.2,1
Annie on My Mind,36.83,43.09,5
And Then There Were None,35.01,40.96,2
A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,35.66,4
A Visit from the Goon Squad,14.08,16.47,5
A Storm of Swords (A Song of Ice and Fire #3),31.22,36.53,2
A Heartbreaking Work of Staggering Genius,54.29,63.52,5
8 Keys to Mental Health Through Exercise,31.04,36.32,1
#GIRLBOSS,50.96,59.62,1
"The Suffragettes (Little Black Classics, #96)",11.89,13.91,2
The Sense of an Ending,31.38,36.71,3
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,64.13,1
The Course of Love,16.78,19.63,3
Sugar Rush (Offensive Line #2),24.42,28.57,1
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,13.75,3
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,23.42,1
New Moon (Twilight #2),12.86,15.05,4
Life,31.58,36.95,5
Kindle Paperwhite User's Guide,34.0,39.78,3
H is for Hawk,57.42,67.18,5
Girl Online On Tour (Girl Online #2),53.47,62.56,1
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,13.62,5
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,61.87,4
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,21.66,4
While You Were Mine,41.32,48.34,5
Where Lightning Strikes (Bleeding Stars #3),39.77,46.53,3
When I'm Gone,51.96,60.79,3
Ways of Seeing,39.51,46.23,5
"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,18.02,1
Vampire Girl (Vampire Girl #1),53.82,62.97,2
Twenty Love Poems and a Song of Despair,30.95,36.21,4
Travels with Charley: In Search of America,57.82,67.65,5
Three Wishes (River of Time: California #1),44.18,51.69,2
This One Moment (Pushing Limits #1),48.71,56.99,1
The Zombie Room,19.69,23.04,5
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,42.73,2
The Tumor,41.56,48.63,5
The Story of Hong Gildong,43.19,50.53,4
The Silent Wife,12.34,14.44,5
The Silent Twin (Detective Jennifer Knight #3),36.25,42.41,3
The Selfish Gene,29.45,34.46,1
The Secret Healer,34.56,40.44,3
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,63.32,3
The Republic,33.78,39.52,3
The Odyssey,29.64,34.68,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,67.51,4
The Nicomachean Ethics,36.34,42.52,1
The Name of the Wind (The Kingkiller Chronicle #1),50.59,59.19,3
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,34.37,1
The Little Prince,45.42,53.14,2
The Light of the Fireflies,54.43,63.68,1
The Last Girl (The Dominion Trilogy #1),36.26,42.42,2
The Iliad,16.16,18.91,1
The Hook Up (Game On #1),36.29,42.46,5
The Haters,27.89,32.63,5
The Girl You Lost,12.29,14.38,5
The Girl In The Ice (DCI Erika Foster #1),15.85,18.54,3
The End of the Jesus Era (An Investigation #1),14.4,16.85,1
The Edge of Reason (Bridget Jones #2),19.18,22.44,4
The Complete Maus (Maus #1-2),10.64,12.45,3
The Communist Manifesto,14.76,17.27,3
The Bhagavad Gita,57.49,67.26,3
The Bette Davis Club,30.66,35.87,3
The Art of Not Breathing,40.83,47.77,4
Taking Shots (Assassins #1),18.88,22.09,2
Starlark,25.83,30.22,3
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,49.28,3
Sister Sable (The Mad Queen #1),13.33,15.6,3
Shatter Me (Shatter Me #1),42.4,49.61,1
Shameless,58.35,68.27,3
Shadow Rites (Jane Yellowrock #10),21.72,25.41,4
Settling the Score (The Summer Games #1),44.91,52.54,2
Sense and Sensibility,37.46,43.83,1
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,33.32,1
"Rhythm, Chord & Malykhin",28.34,33.16,2
